,X_dist,Y_dist,X_velocity,Y_velocity
1296,0.7160586650758548,0.6090384193041345,0.05088202583707113,0.5717440405787921
1297,0.7122529319041242,0.6164432030483626,0.050435619780492214,0.5841031925538533
1298,0.7082195465088139,0.6238573556477212,0.049989213723913295,0.5964623445289144
1299,0.7039585088899234,0.63128087710221,0.049542807667334265,0.6088214965039758
1300,0.699469819047453,0.6387137674118292,0.04909640161075535,0.6211806484790368
1301,0.6947534769814028,0.6461560265765788,0.0565565793260136,0.6173663785048287
1302,0.6901073927326133,0.6534417167987007,0.06401675704127174,0.6135521085306205
1303,0.6855315663010846,0.6605708380781946,0.07147693475653,0.6097378385564123
1304,0.6810259976868169,0.6675433904150609,0.07893711247178825,0.6059235685822041
1305,0.67659068688981,0.6743593738092993,0.08639729018704645,0.6021092986079959
1306,0.6722256339100637,0.6810187882609096,0.09385746790230465,0.5982950286337878
1307,0.6679308387475783,0.6875216337698922,0.10131764561756296,0.5944807586595796
1308,0.6637063014023539,0.6938679103362471,0.10877782333282121,0.5906664886853714
1309,0.6595520218743901,0.7000576179599739,0.11623800104807941,0.5868522187111632
1310,0.6554680001636872,0.7060907566410731,0.12369817876333766,0.583037948736955
1311,0.6514542362702452,0.7119673263795444,0.13115835647859592,0.5792236787627468
1312,0.647510730194064,0.7176873271753879,0.13861853419385417,0.5754094087885386
1313,0.6436374819351436,0.7232507590286034,0.14607871190911237,0.5715951388143304
1314,0.6398344914934841,0.7286576219391913,0.15353888962437062,0.5677808688401222
1315,0.6361017588690854,0.733907915907151,0.16099906733962888,0.563966598865914
1316,0.6324392840619474,0.7390016409324831,0.16845924505488713,0.5601523288917059
1317,0.6288470670720705,0.7439387970151873,0.1759194227701454,0.5563380589174977
1318,0.6253251078994543,0.7487193841552638,0.18337960048540367,0.5525237889432895
1319,0.6218734065440988,0.7533434023527124,0.19083977820066186,0.5487095189690813
1320,0.6184919630060044,0.757810851607533,0.19829995591592012,0.5448952489948731
1321,0.6151807772851707,0.762121731919726,0.20576013363117837,0.5410809790206649
1322,0.6119398493815977,0.7662760432892912,0.21322031134643663,0.5372667090464567
1323,0.6087691792952857,0.7702737857162282,0.22068048906169488,0.5334524390722485
1324,0.6056687670262346,0.7741149592005376,0.22814066677695313,0.5296381690980403
1325,0.6026386125744441,0.7777995637422189,0.23560084449221133,0.5258238991238321
1326,0.5996787159399146,0.7813275993412727,0.2430610222074696,0.5220096291496239
1327,0.596789077122646,0.7846990659976985,0.25052119992272787,0.5181953591754158
1328,0.593969696122638,0.7879139637114965,0.2579813776379861,0.5143810892012075
1329,0.591220572939891,0.7909722924826667,0.2654415553532444,0.5105668192269994
1330,0.5885417075744048,0.793874052311209,0.2729017330685026,0.5067525492527912
1331,0.5859331000261794,0.7966192431971234,0.2803619107837608,0.502938279278583
1332,0.5833947502952147,0.7992078651404098,0.28782208849901914,0.49912400930437484
1333,0.5809266583815109,0.8016399181410689,0.2952822662142774,0.49530973933016664
1334,0.578528824285068,0.8039154021990997,0.30274244392953564,0.49149546935595845
1335,0.5762012480058859,0.8060343173145029,0.31020262164479384,0.48768119938175025
1336,0.5739439295439647,0.8079966634872783,0.3176627993600521,0.48386692940754206
1337,0.5717568688993042,0.8098024407174255,0.32512297707531035,0.48005265943333386
1338,0.5696400660719045,0.811451649004945,0.3325831547905686,0.47623838945912567
1339,0.5675935210617657,0.812944288349837,0.34004333250582686,0.47242411948491747
